Orden,Fecha,Mes,Trimestre,Año,Cliente,Destino,Estado,Condicion,Envio,Categoria,Producto,Variedad,SKU,ASIN,Cantidad,Precio,Moneda
ID20,8/1/2022,1,Q1,2022,Cliente781,Calle desconocida 1665,Nebraska,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID21,8/1/2022,1,Q1,2022,Cliente6177,Calle desconocida 6716,Nevada,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID22,8/1/2022,1,Q1,2022,Cliente8101,Calle desconocida 5961,Utah,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID23,8/1/2022,1,Q1,2022,Cliente9060,Calle desconocida 4268,Oregon,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID24,8/1/2022,1,Q1,2022,Cliente6847,Calle desconocida 4199,California,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID25,9/1/2022,1,Q1,2022,Cliente5119,Calle desconocida 2391,Louisiana,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID26,9/1/2022,1,Q1,2022,Cliente7848,Calle desconocida 9081,Ohio,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID27,9/1/2022,1,Q1,2022,Cliente8059,Calle desconocida 6433,New York,Cancelada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,0,0,
ID28,10/1/2022,1,Q1,2022,Cliente5561,Calle desconocida 7076,California,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID29,11/1/2022,1,Q1,2022,Cliente7475,Calle desconocida 4483,Alabama,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID30,11/1/2022,1,Q1,2022,Cliente2160,Calle desconocida 9767,Alaska,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID31,14/1/2022,1,Q1,2022,Cliente5394,Calle desconocida 3541,Wisconsin,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,0,
ID32,15/1/2022,1,Q1,2022,Cliente8948,Calle desconocida 1512,Louisiana,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID33,15/1/2022,1,Q1,2022,Cliente8403,Calle desconocida 4431,Illinois,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID34,16/1/2022,1,Q1,2022,Cliente1962,Calle desconocida 5758,Louisiana,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID35,16/1/2022,1,Q1,2022,Cliente6225,Calle desconocida 4297,Montana,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID36,21/1/2022,1,Q1,2022,Cliente4661,Calle desconocida 107,Connecticut,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID37,21/1/2022,1,Q1,2022,Cliente624,Calle desconocida 6736,South Carolina,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,0,
ID38,22/1/2022,1,Q1,2022,Cliente1264,Calle desconocida 1115,Vermont,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,98.5,USD
ID39,22/1/2022,1,Q1,2022,Cliente5154,Calle desconocida 9631,Maine,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID40,22/1/2022,1,Q1,2022,Cliente5612,Calle desconocida 2401,Michigan,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID41,22/1/2022,1,Q1,2022,Cliente43,Calle desconocida 1600,Idaho,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID42,23/1/2022,1,Q1,2022,Cliente9343,Calle desconocida 4161,Mississippi,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID43,23/1/2022,1,Q1,2022,Cliente2044,Calle desconocida 3738,Delaware,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID44,24/1/2022,1,Q1,2022,Cliente6978,Calle desconocida 2792,Wyoming,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID45,24/1/2022,1,Q1,2022,Cliente4340,Calle desconocida 6994,Georgia,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,98.5,USD
ID46,24/1/2022,1,Q1,2022,Cliente2021,Calle desconocida 3991,Maine,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID47,24/1/2022,1,Q1,2022,Cliente2758,Calle desconocida 4423,Idaho,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID48,25/1/2022,1,Q1,2022,Cliente8092,Calle desconocida 2179,Utah,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID49,25/1/2022,1,Q1,2022,Cliente3950,Calle desconocida 1839,Kentucky,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID50,26/1/2022,1,Q1,2022,Cliente6409,Calle desconocida 3590,Alaska,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID51,27/1/2022,1,Q1,2022,Cliente108,Calle desconocida 2264,Wisconsin,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID52,27/1/2022,1,Q1,2022,Cliente9338,Calle desconocida 6827,Virginia,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID53,28/1/2022,1,Q1,2022,Cliente8977,Calle desconocida 1642,New Jersey,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,0,
ID54,29/1/2022,1,Q1,2022,Cliente3585,Calle desconocida 384,Ohio,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID55,29/1/2022,1,Q1,2022,Cliente2044,Calle desconocida 2923,Connecticut,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID56,29/1/2022,1,Q1,2022,Cliente2713,Calle desconocida 4474,Indiana,Cancelada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,0,0,
ID57,29/1/2022,1,Q1,2022,Cliente9296,Calle desconocida 6210,Arizona,Cancelada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,0,0,
ID58,2/2/2022,2,Q1,2022,Cliente3519,Calle desconocida 9008,Mississippi,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID59,3/2/2022,2,Q1,2022,Cliente7065,Calle desconocida 5819,Delaware,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID60,3/2/2022,2,Q1,2022,Cliente276,Calle desconocida 1357,South Carolina,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID61,5/2/2022,2,Q1,2022,Cliente1350,Calle desconocida 6066,Wyoming,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID62,7/2/2022,2,Q1,2022,Cliente7946,Calle desconocida 3588,Wisconsin,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID63,9/2/2022,2,Q1,2022,Cliente9365,Calle desconocida 846,Hawaii,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,2,159.8,
ID64,9/2/2022,2,Q1,2022,Cliente4037,Calle desconocida 2561,New York,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID65,9/2/2022,2,Q1,2022,Cliente6929,Calle desconocida 3366,Missouri,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID66,9/2/2022,2,Q1,2022,Cliente6263,Calle desconocida 4682,Tennessee,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID67,10/2/2022,2,Q1,2022,Cliente2025,Calle desconocida 7135,Louisiana,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,109.9,USD
ID68,11/2/2022,2,Q1,2022,Cliente9211,Calle desconocida 3289,Wisconsin,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID69,12/2/2022,2,Q1,2022,Cliente5074,Calle desconocida 2177,New York,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID70,12/2/2022,2,Q1,2022,Cliente7955,Calle desconocida 2249,New York,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID71,12/2/2022,2,Q1,2022,Cliente6820,Calle desconocida 6671,Utah,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID72,13/2/2022,2,Q1,2022,Cliente482,Calle desconocida 6055,Massachusetts,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID73,13/2/2022,2,Q1,2022,Cliente6470,Calle desconocida 8154,North Carolina,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID74,13/2/2022,2,Q1,2022,Cliente3862,Calle desconocida 3548,Kansas,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID75,14/2/2022,2,Q1,2022,Cliente1347,Calle desconocida 5936,Oregon,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID76,14/2/2022,2,Q1,2022,Cliente5085,Calle desconocida 3206,Connecticut,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID77,18/2/2022,2,Q1,2022,Cliente3510,Calle desconocida 9339,Louisiana,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,109.9,USD
ID78,18/2/2022,2,Q1,2022,Cliente1543,Calle desconocida 406,Nebraska,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,109.9,USD
ID79,19/2/2022,2,Q1,2022,Cliente3708,Calle desconocida 4933,New Hampshire,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,109.9,USD
ID80,20/2/2022,2,Q1,2022,Cliente3845,Calle desconocida 6311,Arizona,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID81,20/2/2022,2,Q1,2022,Cliente1536,Calle desconocida 2655,Louisiana,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID82,20/2/2022,2,Q1,2022,Cliente2634,Calle desconocida 9752,Rhode Island,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID83,21/2/2022,2,Q1,2022,Cliente7972,Calle desconocida 2812,California,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID84,23/2/2022,2,Q1,2022,Cliente9646,Calle desconocida 5124,Mississippi,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID85,23/2/2022,2,Q1,2022,Cliente4363,Calle desconocida 4600,Indiana,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID86,2/3/2022,3,Q1,2022,Cliente7371,Calle desconocida 9534,Nebraska,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID87,2/3/2022,3,Q1,2022,Cliente1128,Calle desconocida 4572,Florida,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,98.5,USD
ID88,3/3/2022,3,Q1,2022,Cliente2107,Calle desconocida 1756,Iowa,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID89,4/3/2022,3,Q1,2022,Cliente2941,Calle desconocida 4481,Connecticut,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID90,4/3/2022,3,Q1,2022,Cliente7809,Calle desconocida 7054,Arkansas,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID91,4/3/2022,3,Q1,2022,Cliente4926,Calle desconocida 966,Arkansas,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,0,
ID92,6/3/2022,3,Q1,2022,Cliente3794,Calle desconocida 7130,New Hampshire,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,98.5,USD
ID93,7/3/2022,3,Q1,2022,Cliente2472,Calle desconocida 7589,Washington,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,98.5,USD
ID94,7/3/2022,3,Q1,2022,Cliente3807,Calle desconocida 8590,Michigan,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID95,7/3/2022,3,Q1,2022,Cliente4285,Calle desconocida 7313,Oklahoma,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID96,7/3/2022,3,Q1,2022,Cliente1797,Calle desconocida 7153,Arizona,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID97,8/3/2022,3,Q1,2022,Cliente3592,Calle desconocida 3375,North Dakota,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID98,8/3/2022,3,Q1,2022,Cliente9623,Calle desconocida 1121,Illinois,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID100,9/3/2022,3,Q1,2022,Cliente4382,Calle desconocida 7063,Alaska,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,0,
ID99,9/3/2022,3,Q1,2022,Cliente3063,Calle desconocida 2703,Idaho,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID101,10/3/2022,3,Q1,2022,Cliente4845,Calle desconocida 2842,New Mexico,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID102,10/3/2022,3,Q1,2022,Cliente2777,Calle desconocida 6691,Missouri,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID103,11/3/2022,3,Q1,2022,Cliente3291,Calle desconocida 7285,Wisconsin,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,2,197,
ID104,11/3/2022,3,Q1,2022,Cliente2869,Calle desconocida 8297,Colorado,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID105,11/3/2022,3,Q1,2022,Cliente9189,Calle desconocida 2058,South Dakota,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,0,
ID106,13/3/2022,3,Q1,2022,Cliente8184,Calle desconocida 7548,Tennessee,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,98.5,USD
ID107,13/3/2022,3,Q1,2022,Cliente4535,Calle desconocida 1798,Montana,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID108,13/3/2022,3,Q1,2022,Cliente7122,Calle desconocida 6364,Montana,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID109,13/3/2022,3,Q1,2022,Cliente6207,Calle desconocida 6751,Virginia,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID110,13/3/2022,3,Q1,2022,Cliente2341,Calle desconocida 1683,Iowa,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID111,13/3/2022,3,Q1,2022,Cliente9287,Calle desconocida 1544,South Dakota,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID112,17/3/2022,3,Q1,2022,Cliente6664,Calle desconocida 3920,Hawaii,Cancelada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,0,0,
ID113,19/3/2022,3,Q1,2022,Cliente1859,Calle desconocida 8017,Arizona,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID114,19/3/2022,3,Q1,2022,Cliente1638,Calle desconocida 2952,Maryland,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,0,
ID115,20/3/2022,3,Q1,2022,Cliente1631,Calle desconocida 8984,South Carolina,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID116,21/3/2022,3,Q1,2022,Cliente1442,Calle desconocida 6104,Alaska,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID117,23/3/2022,3,Q1,2022,Cliente6469,Calle desconocida 2506,Hawaii,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID118,24/3/2022,3,Q1,2022,Cliente5177,Calle desconocida 3544,Rhode Island,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID119,25/3/2022,3,Q1,2022,Cliente8470,Calle desconocida 455,Nevada,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID120,25/3/2022,3,Q1,2022,Cliente8466,Calle desconocida 9429,Arizona,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID121,30/3/2022,3,Q1,2022,Cliente2478,Calle desconocida 9811,Maryland,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID122,30/3/2022,3,Q1,2022,Cliente8266,Calle desconocida 4240,New Hampshire,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID123,30/3/2022,3,Q1,2022,Cliente1237,Calle desconocida 6396,Delaware,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID124,31/3/2022,3,Q1,2022,Cliente2730,Calle desconocida 9731,New Mexico,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID125,1/4/2022,4,Q2,2022,Cliente3752,Calle desconocida 4998,Arkansas,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID126,1/4/2022,4,Q2,2022,Cliente9122,Calle desconocida 4309,Kansas,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,0,
ID127,2/4/2022,4,Q2,2022,Cliente4669,Calle desconocida 5927,Washington,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID128,2/4/2022,4,Q2,2022,Cliente8814,Calle desconocida 7969,Nebraska,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,109.9,USD
ID129,3/4/2022,4,Q2,2022,Cliente8864,Calle desconocida 7444,West Virginia,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID130,3/4/2022,4,Q2,2022,Cliente5137,Calle desconocida 3315,Virginia,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID131,5/4/2022,4,Q2,2022,Cliente4160,Calle desconocida 3519,California,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID132,6/4/2022,4,Q2,2022,Cliente3294,Calle desconocida 1868,Indiana,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID133,6/4/2022,4,Q2,2022,Cliente6007,Calle desconocida 2667,Alabama,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID134,6/4/2022,4,Q2,2022,Cliente943,Calle desconocida 1339,Michigan,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID135,7/4/2022,4,Q2,2022,Cliente3043,Calle desconocida 3559,Washington,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,2,159.8,USD
ID136,7/4/2022,4,Q2,2022,Cliente9941,Calle desconocida 9217,Kansas,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID137,7/4/2022,4,Q2,2022,Cliente3591,Calle desconocida 2328,Wisconsin,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID138,8/4/2022,4,Q2,2022,Cliente3239,Calle desconocida 5496,Florida,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID139,8/4/2022,4,Q2,2022,Cliente214,Calle desconocida 8820,Virginia,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID140,8/4/2022,4,Q2,2022,Cliente4547,Calle desconocida 7062,Wisconsin,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID141,8/4/2022,4,Q2,2022,Cliente5830,Calle desconocida 8587,Nebraska,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,109.9,USD
ID142,8/4/2022,4,Q2,2022,Cliente7164,Calle desconocida 5169,Wyoming,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID143,8/4/2022,4,Q2,2022,Cliente3453,Calle desconocida 8275,Florida,Cancelada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,0,0,
ID144,9/4/2022,4,Q2,2022,Cliente4249,Calle desconocida 2716,Oregon,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID145,10/4/2022,4,Q2,2022,Cliente7049,Calle desconocida 4205,Louisiana,Enviada,Amazon,S,A,Azul,S-A-BASIC-AZUL,B000JK9V5K,1,109.9,USD
ID146,13/4/2022,4,Q2,2022,Cliente5403,Calle desconocida 5355,Ohio,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,2,159.8,USD
ID147,14/4/2022,4,Q2,2022,Cliente5463,Calle desconocida 8919,Iowa,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID148,15/4/2022,4,Q2,2022,Cliente7871,Calle desconocida 6675,Connecticut,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID149,15/4/2022,4,Q2,2022,Cliente2230,Calle desconocida 9456,New Jersey,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
ID150,16/4/2022,4,Q2,2022,Cliente3410,Calle desconocida 9221,Virginia,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,109.9,USD
